x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z,f_m,f_x,f_y,f_z
-0.001481,-0.155353,68.99,0.000129,-0.129314,68.99,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-3.00,-0.155220,68.99,-3.00,-0.128200,68.99,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-6.00,-0.153618,68.99,-6.00,-0.125753,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-9.00,-0.150089,68.99,-9.00,-0.121539,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-12.00,-0.144835,68.99,-12.00,-0.115792,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-15.00,-0.138366,68.99,-15.00,-0.109038,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-18.00,-0.130757,68.99,-18.00,-0.101377,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-21.00,-0.122161,69.00,-21.00,-0.092975,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-24.00,-0.112734,69.00,-24.00,-0.084003,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-27,-0.102923,69.00,-27.00,-0.074908,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-30.00,-0.092535,69.00,-30.00,-0.065500,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-33.00,-0.082255,69.00,-33.00,-0.056464,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-36.00,-0.071935,69.00,-36.00,-0.047646,69.00,0,-0.02,0.00,0.02,0,0.02,0.00,0,0,0,0
-39.00,-0.061646,69.00,-39.00,-0.039105,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
-42.00,-0.052366,69.00,-42.00,-0.031787,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
-45.00,-0.043844,69.00,-45.00,-0.025417,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
-48.00,-0.035737,69.00,-48.00,-0.019614,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
-51.00,-0.028619,69.00,-51.00,-0.014916,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-54.00,-0.021974,69.00,-54.00,-0.010755,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-57.00,-0.016032,69.00,-57.00,-0.007293,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-60.00,-0.010632,69.00,-60.00,-0.004277,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-63.00,-0.006458,69.00,-63.00,-0.002281,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-66.00,-0.003082,69.00,-66.00,-0.000740,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-69.00,-0.000876,69.00,-69.00,0.000117,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-72.00,-0.000088,69.00,-72.00,0.000152,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-75,0.000001,69,-75,0.000001,69,0,0,0,0,0,0,0,11.53,-10.68,-1.08,4.20
75,0.000001,66,75,0.000001,66,0,0,0,0,0,0,0,13.63,12.60,-1.52,4.98
72.00,-0.000197,66.00,72.00,0.000063,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
69.00,-0.001637,66.00,69.00,-0.000702,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
66.00,-0.004636,66.00,66.00,-0.002632,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
63.00,-0.009337,66.00,63.00,-0.005945,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
60.00,-0.015647,66.00,60.00,-0.010634,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
57.00,-0.023132,66.00,57.00,-0.016335,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
54.00,-0.032141,66.00,54.00,-0.023447,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
51.00,-0.042700,66.00,51.00,-0.032025,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
48.00,-0.054298,66.00,48.00,-0.041581,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
45.00,-0.067174,66.00,45.00,-0.052355,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
42.00,-0.081757,66.00,42.00,-0.064780,66.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
39.00,-0.097533,66.00,39.00,-0.078325,66.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
