x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z
18.00,-0.124877,69.00,18.00,-0.106921,69.00,-1.400000E-3,-1.795600E-2,-6.000000E-4,0.02,0.00,0.02,0.00
15.00,-0.134879,68.99,15.00,-0.115636,69.00,-1.500000E-3,-1.924300E-2,-7.000000E-4,0.02,0.00,0.02,0.00
12.00,-0.143815,68.99,12.00,-0.123314,69.00,-1.600000E-3,-2.050100E-2,-8.000000E-4,0.02,0.00,0.02,0.00
9.00,-0.151111,68.99,9.00,-0.129393,68.99,-1.550000E-3,-2.171800E-2,-8.000000E-4,0.02,0.00,0.02,0.00
6.00,-0.156952,68.99,6.00,-0.134074,68.99,-1.550000E-3,-2.287800E-2,-8.000000E-4,0.02,0.00,0.02,0.00
3.00,-0.161316,68.99,3.00,-0.137358,68.99,-1.550000E-3,-2.395800E-2,-9.000000E-4,0.02,0.00,0.02,0.00
-0.001413,-0.163772,68.99,0.000106,-0.138846,68.99,-1.518555E-3,-2.492600E-2,-1.000000E-3,0.02,0.00,0.02,0.00
-3.00,-0.164304,68.99,-3.00,-0.138553,68.99,-1.480000E-3,-2.575100E-2,-1.100000E-3,0.03,0.00,0.03,0.00
-6.00,-0.162654,68.99,-6.00,-0.136241,68.99,-1.400000E-3,-2.641300E-2,-1.200000E-3,0.03,0.00,0.03,0.00
-9.00,-0.159484,68.99,-9.00,-0.132580,68.99,-1.330000E-3,-2.690400E-2,-1.200000E-3,0.03,0.00,0.03,0.00
-12.00,-0.154300,68.99,-12.00,-0.127082,69.00,-1.200000E-3,-2.721800E-2,-1.200000E-3,0.03,0.00,0.03,0.00
-15.00,-0.147649,68.99,-15.00,-0.120297,69.00,-1.100000E-3,-2.735200E-2,-1.300000E-3,0.03,0.00,0.03,0.00
-18.00,-0.139597,68.99,-18.00,-0.112290,69.00,-1.000000E-3,-2.730700E-2,-1.300000E-3,0.03,0.00,0.03,0.00
-21.00,-0.130237,68.99,-21.00,-0.103164,69.00,-8.000000E-4,-2.707300E-2,-1.400000E-3,0.03,0.00,0.03,0.00
-24.00,-0.120712,69.00,-24.00,-0.094081,69.00,-7.000000E-4,-2.663110E-2,-1.400000E-3,0.03,0.00,0.03,0.00
-27,-0.110033,69.00,-27.00,-0.084060,69.00,-5.000000E-4,-2.597310E-2,-1.400000E-3,0.03,0.00,0.03,0.00
-30.00,-0.099400,69.00,-30.00,-0.074302,69.00,-3.000000E-4,-2.509800E-2,-1.400000E-3,0.03,0.00,0.03,0.00
-33.00,-0.088295,69.00,-33.00,-0.064296,69.00,-1.000000E-4,-2.399920E-2,-1.300000E-3,0.02,0.00,0.02,0.00
-36.00,-0.077067,69.00,-36.00,-0.054396,69.00,0.000000E+0,-2.267070E-2,-1.200000E-3,0.02,0,0.02,0.00
-39.00,-0.066555,69.00,-39.00,-0.045442,69.00,1.000000E-4,-2.111220E-2,-1.200000E-3,0.02,0.00,0.02,0.00
-42.00,-0.056442,69.00,-42.00,-0.037114,69.00,2.000000E-4,-1.932870E-2,-1.100000E-3,0.02,0.00,0.02,0.00
-45.00,-0.047188,69.00,-45.00,-0.029846,69.00,2.000000E-4,-1.734170E-2,-1.000000E-3,0.02,0.00,0.02,0.00
-48.00,-0.038349,69.00,-48.00,-0.023167,69.00,4.000000E-4,-1.518170E-2,-9.000000E-4,0.02,0.00,0.02,0.00
-51.00,-0.030554,69.00,-51.00,-0.017664,69.00,4.000000E-4,-1.289000E-2,-8.000000E-4,0.01,0.00,0.01,0.00
-54.00,-0.023260,69.00,-54.00,-0.012732,69.00,3.000000E-4,-1.052800E-2,-7.000000E-4,0.01,0.00,0.01,0.00
-57.00,-0.017080,69.00,-57.00,-0.008908,69.00,4.000000E-4,-8.172050E-3,-6.000000E-4,0.01,0.00,0.01,0.00
-60.00,-0.011407,69.00,-60.00,-0.005490,69.00,3.000000E-4,-5.916840E-3,-5.000000E-4,0.01,0.00,0.01,0.00
-63.00,-0.006662,69.00,-63.00,-0.002791,69.00,3.000000E-4,-3.871380E-3,-4.000000E-4,0.00,0.00,0.00,0.00
-66.00,-0.003499,69.00,-66.00,-0.001340,69.00,2.000000E-4,-2.158910E-3,-4.000000E-4,0.00,0.00,0.00,0.00
-69.00,-0.000991,69.00,-69.00,-0.000080,69.00,2.000000E-4,-9.105145E-4,-3.000000E-4,0.00,0.00,0.00,0.00
-72.00,-0.000236,69.00,-72.00,-0.000014,69.00,1.000000E-4,-2.220088E-4,-2.000000E-4,0.00,0.00,0.00,0.00
-75,0.000001,69,-75,0.000001,69,0.000000E+0,0.000000E+0,0.000000E+0,0,0,0,0
75,0.000001,66,75,0.000001,66,0.000000E+0,0.000000E+0,0.000000E+0,0,0,0,0
72.00,-0.000500,66.00,72.00,-0.000218,66.00,-1.000000E-4,-2.822820E-4,-1.000000E-4,0.00,0.00,0.00,0.00
69.00,-0.001662,66.00,69.00,-0.000642,66.00,-3.000000E-4,-1.019725E-3,-2.000000E-4,0.00,0.00,0.00,0.00
66.00,-0.004762,66.00,66.00,-0.002576,66.00,-4.000000E-4,-2.185860E-3,-2.000000E-4,0.00,0.00,0.00,0.00
63.00,-0.009655,66.00,63.00,-0.005972,66.00,-4.000000E-4,-3.683240E-3,-2.000000E-4,0.00,0.00,0.00,0.00
60.00,-0.015992,66.00,60.00,-0.010585,66.00,-6.000000E-4,-5.406700E-3,-3.000000E-4,0.01,0.00,0.01,0.00
57.00,-0.023759,66.00,57.00,-0.016491,66.00,-7.000000E-4,-7.267300E-3,-3.000000E-4,0.01,0.00,0.01,0.00
54.00,-0.033242,66.00,54.00,-0.024039,66.00,-8.000000E-4,-9.203400E-3,-3.000000E-4,0.01,0.00,0.01,0.00
51.00,-0.043646,66.00,51.00,-0.032466,66.00,-9.000000E-4,-1.117990E-2,-3.000000E-4,0.01,0.00,0.01,0.00
48.00,-0.055610,66.00,48.00,-0.042424,66.00,-1.000000E-3,-1.318670E-2,-3.000000E-4,0.01,0.00,0.01,0.00
45.00,-0.069169,66.00,45.00,-0.053938,66.00,-1.100000E-3,-1.523110E-2,-4.000000E-4,0.02,0.00,0.02,0.00
42.00,-0.083903,66.00,42.00,-0.066575,66.00,-1.200000E-3,-1.732830E-2,-4.000000E-4,0.02,0.00,0.02,0.00
39.00,-0.100377,66.00,39.00,-0.080883,66.00,-1.300000E-3,-1.949400E-2,-4.000000E-4,0.02,0.00,0.02,0.00
36.00,-0.117975,66.00,36.00,-0.096242,66.00,-1.400000E-3,-2.173280E-2,-4.000000E-4,0.02,0.00,0.02,0.00
33.00,-0.136877,66.00,33.00,-0.112823,66.00,-1.500000E-3,-2.405400E-2,-5.000000E-4,0.02,0.00,0.02,0.00
30.00,-0.156507,66.00,30.00,-0.130055,66.00,-1.700000E-3,-2.645200E-2,-5.000000E-4,0.03,0.00,0.03,0.00
